,price,Year,Hand,Kilometer,Area,Gearbox,Engine capcity,Color,manufacturer,type
118,22000.0,2008.0,2.0,56000.0, אשדוד - אשקלון,אוטומטית,2359.0,             אפור מטאלי,יונדאי, סונטה
119,19000.0,2013.0,3.0,167500.0, פתח תקוה והסביבה,ידנית,1086.0,             לבן,יונדאי, i10
120,14500.0,2010.0,3.0,216000.0, עכו - נהריה,אוטומטית,1591.0,             לבן,יונדאי, i30cw
121,20000.0,2011.0,2.0,210000.0, מושבים בצפון,אוטומטית,1591.0,             לבן,יונדאי, i30cw
122,26000.0,2011.0,3.0,70000.0, חולון - בת ים,אוטומטית,1248.0,             אדום,יונדאי, i10
123,4000.0,2004.0,3.0,300000.0, רמת גן - גבעתיים,אוטומטית,1495.0,             לבן,יונדאי, אקסנט
124,17500.0,2010.0,2.0,250000.0, מושבים בצפון,אוטומטית,1591.0,             לבן,יונדאי, i30
125,19500.0,2009.0,3.0,160000.0, רמת גן - גבעתיים,אוטומטית,1591.0,             אפור עכבר,יונדאי, i30
126,14000.0,2009.0,4.0,181080.0," ראשל""צ והסביבה",אוטומטית,1591.0,             אפור עכבר,יונדאי, i30cw
127,7500.0,2008.0,4.0,133254.0, אילת והערבה,אוטומטית,1399.0,             אפור,יונדאי, אקסנט
128,17000.0,2009.0,2.0,187000.0, טבריה והסביבה,אוטומטית,1591.0,             כחול,יונדאי, i30cw
129,20000.0,2011.0,5.0,242000.0, חדרה וישובי עמק חפר,אוטומטית,1396.0,             שחור,יונדאי, i20
130,15000.0,2011.0,2.0,177000.0, רמלה - לוד,אוטומטית,1399.0,             כסוף מטאלי,יונדאי, אקסנט
131,28000.0,2011.0,3.0,141000.0, ירושלים והסביבה,אוטומטית,1396.0,             לבן,יונדאי, i20
132,16000.0,2009.0,3.0,190000.0," ראשל""צ והסביבה",אוטומטית,1396.0,             אפור מטאלי,יונדאי, i20
133,33000.0,2011.0,2.0,168000.0, קריות,אוטומטית,1591.0,             לבן,יונדאי, i25
134,8999.0,2007.0,3.0,250000.0, זכרון - בנימינה,אוטומטית,1399.0,             לבן,יונדאי, אקסנט
135,6000.0,2006.0,4.0,189000.0," ראשל""צ והסביבה",אוטומטית,1399.0,             כחול,יונדאי, גטס
136,24500.0,2010.0,2.0,159000.0, מושבים במרכז,אוטומטית,1396.0,             לבן מטאלי,יונדאי, i20
138,8500.0,2008.0,4.0,164000.0, זכרון - בנימינה,אוטומטית,1399.0,             שחור מטאלי,יונדאי, גטס
139,14000.0,2010.0,2.0,220000.0, ירושלים והסביבה,אוטומטית,1591.0,             אפור עכבר,יונדאי, i30
140,40000.0,2014.0,3.0,167000.0, מושבים בשפלה,אוטומטית,1591.0,             ברונזה,יונדאי, i30
141,45000.0,2016.0,3.0,150000.0, כרמיאל והסביבה,אוטומטית,1591.0,             כסוף,יונדאי, i30
142,35000.0,2012.0,3.0,176000.0, חולון - בת ים,אוטומטית,1999.0,             לבן,יונדאי, i40
143,38000.0,2014.0,3.0,200000.0, זכרון - בנימינה,אוטומטית,1591.0,             אפור מטאלי,יונדאי, i35
